State,Unemployment Percentage
Nebraska,3.5
South Dakota,4.1
Vermont,4.2
North Dakota,4.4
Iowa,4.7
Missouri,4.9
Utah,5
South Carolina,5.1
Montana,5.3
Oklahoma,5.3
Wisconsin,5.4
Kentucky,5.6
Kansas,5.9
Minnesota,6
New Hampshire,6
Idaho,6.1
Maine,6.1
Wyoming,6.1
Indiana,6.2
Virginia,6.2
Tennessee,6.3
Colorado,6.4
Georgia,6.4
Alabama,6.6
Arizona,6.7
New Jersey,6.7
Mississippi,7.1
Alaska,7.2
Maryland,7.2
Arkansas,7.3
North Carolina,7.3
Florida,7.6
Connecticut,7.8
Washington,7.8
Oregon,8
Louisiana,8.1
Pennsylvania,8.1
Delaware,8.2
Texas,8.3
Ohio,8.4
Michigan,8.5
West Virginia,8.6
District of Columbia,8.7
New Mexico,9.4
Massachusetts,9.6
New York,9.7
Illinois,10.2
Rhode Island,10.5
California,11
Nevada,12.6
Hawaii,15.1
